,facility,facility,season,season,add_0c_group,add_0c_group
,H-statistic,p-value,H-statistic,p-value,H-statistic,p-value
mag_PC1,219.41848038285661,2.258823883478816e-48,30.852523387063002,9.130474724087013e-07,41.91150551950864,4.189414834788424e-09
mag_PC2,274.409682587127,2.586393116693882e-60,44.08714165317815,1.4462071177002085e-09,17.860424410928317,0.00046998624660656165
mag_PC3,126.52377780193547,3.355140686292221e-28,21.859008385799598,6.97890552852051e-05,64.7740435885903,5.6064982679386874e-14
18S_PC1,91.98310739482271,1.0619938825257197e-20,138.46625883718033,8.093738020660847e-30,0.371467502976915,0.9460714735791592
18S_PC2,29.17104710928698,4.630070507180109e-07,200.54560603515537,3.2156679476483657e-43,31.49411636070998,6.68929243652032e-07
18S_PC3,71.24755727045104,3.379010288891785e-16,60.48281826024686,4.635421898434139e-13,2.6178408615809885,0.45437039474449337
gene_module_PC1,26.66613089415364,1.6200307181531541e-06,4.9057110855487736,0.17883308149572,0.33392014136006765,0.9535277297919923
gene_module_PC2,30.951117977155718,1.9012977177703212e-07,87.57369933079485,7.271376483236105e-19,97.90043610380917,4.394331535582302e-21
gene_module_PC3,186.50134001474044,3.1750354746033645e-41,19.322564218442494,0.00023446397533735281,7.863319648294919,0.048922570281562064
gene_PC1,262.2621432953033,1.123308841915024e-57,24.51000527051633,1.9546778784430552e-05,20.595775188813377,0.0001277152556061676
gene_PC2,67.23729349770838,2.5096157306290735e-15,48.71728711045557,1.498346168074037e-10,92.5620632379464,6.168478888664626e-20
gene_PC3,212.6020745257017,6.824111216274006e-47,37.6166135029423,3.4072394582868566e-08,3.836852401853548,0.27962857979954564
metabolomics_PC1,15.58194843487081,0.00041344989761354114,72.80238000989334,1.071578451728893e-15,11.382883347115694,0.009825812099970892
metabolomics_PC2,26.90943235881332,1.4344684730751965e-06,20.86234136984649,0.0001124383025822779,5.808234018446683,0.12132206728588815
metabolomics_PC3,14.244523742485171,0.0008069394921590681,56.185442135056746,3.83505290033164e-12,3.1350276098066843,0.3712714616786158
